time,lon,lat,tmp,dtr,pre,vap,wet,cld,frs,pet
2020-06-16,-34.75,81.25,-4.7000003,8.1,0.2,3.6000001,5.39,71.3,28.42,1.3000001
2018-10-16,74.75,70.75,-2.9,3.9,49.3,5.2000003,24.97,88.0,26.189999,0.0
2018-07-16,-46.75,75.75,-10.8,7.7000003,28.6,2.3,10.929999,80.0,31.0,0.90000004
2018-04-16,93.75,69.75,-16.1,11.1,32.2,1.6,15.78,64.4,30.0,0.4
2014-03-16,-97.25,49.25,-10.400001,13.1,28.0,2.4,6.91,55.4,31.0,0.6
2019-05-16,41.75,27.25,28.4,14.2,13.6,6.8,0.83,25.300001,0.0,8.3
2014-04-16,60.75,52.25,4.3,17.1,17.0,4.3,6.0499997,34.7,24.75,2.9
2015-12-16,21.25,37.75,10.3,8.900001,16.4,10.6,2.6799998,51.7,3.73,0.90000004
2011-08-16,6.75,36.25,25.6,14.8,4.0,17.5,0.81,24.6,0.0,5.6
2019-04-16,133.25,-32.25,19.2,14.7,15.2,11.3,1.63,46.3,0.0,4.3
2015-07-16,-139.25,63.25,14.6,13.0,53.5,11.7,13.49,76.700005,0.83,3.1000001
2014-02-15,-38.75,71.25,-37.9,10.3,25.300001,0.5,14.17,61.5,28.0,0.0
2015-11-16,89.25,39.25,4.2000003,12.6,0.1,4.4,0.08,43.9,22.34,1.2
2018-05-16,-89.75,18.75,28.4,12.7,115.6,27.300001,6.15,54.0,0.0,5.2000003
2018-10-16,160.75,57.25,1.4,7.0,49.600002,5.5,12.95,74.6,23.09,0.7
2015-08-16,20.75,-28.25,16.5,19.800001,6.6,7.3,1.3,13.6,2.6,4.0
2020-07-16,-92.25,76.25,3.8,5.6,21.800001,5.9,8.86,72.5,15.259999,2.0
2012-12-16,149.75,-9.75,26.7,7.8,215.2,26.800001,16.27,63.8,0.0,4.2000003
2011-10-16,100.75,35.75,3.0,15.0,24.6,4.4,10.11,46.9,25.779999,1.7
2012-04-16,86.75,59.25,2.1000001,11.0,34.8,4.3,11.9,67.9,23.8,1.7
2012-03-16,35.75,62.75,-5.4,8.900001,40.0,3.2,13.719999,71.1,29.98,0.6
2012-02-15,-27.75,69.75,-19.9,7.5,53.100002,1.4,13.929999,66.5,29.0,0.0
2019-10-16,-23.25,82.75,-19.7,6.9,1.7,1.0,8.65,53.8,31.0,0.1
2012-06-16,-62.75,7.75,25.6,8.5,103.700005,26.6,15.95,56.600002,0.0,3.7
2019-08-16,40.75,48.25,22.2,12.2,25.0,13.0,7.02,32.600002,0.0,5.1
2019-03-16,-102.25,44.25,-2.1000001,12.6,30.6,4.1,9.63,71.0,29.109999,1.2
2016-03-16,120.25,55.25,-11.3,17.5,13.5,2.0,5.5699997,63.0,31.0,0.6
2018-05-16,9.75,51.75,16.0,12.2,38.3,11.8,7.2599998,48.100002,0.0,3.8
2015-05-16,97.75,69.25,-5.4,8.6,22.5,3.2,10.9,70.5,29.88,1.1
2015-03-16,23.75,46.25,6.3,11.3,47.0,6.7000003,15.71,66.0,16.06,1.6
2012-01-16,82.75,56.75,-19.9,6.9,7.9,1.4,7.5099998,63.3,31.0,0.0
2019-03-16,31.25,48.75,4.6,9.6,17.800001,5.7000003,6.91,59.100002,18.449999,1.6
2012-05-16,-94.75,40.75,19.4,14.0,82.0,13.8,10.03,55.600002,0.0,5.0
2011-03-16,8.75,42.75,10.8,6.4,115.5,8.900001,14.46,56.5,1.31,2.2
2020-05-16,79.75,29.25,25.6,11.7,77.8,15.400001,6.24,29.9,0.0,6.0
2015-05-16,-89.75,72.75,-10.1,7.1,11.2,2.1000001,6.87,62.5,30.99,0.90000004
2020-12-16,97.75,44.25,-15.1,13.5,0.5,1.8000001,2.3,24.1,31.0,0.1
2016-04-16,134.75,-22.75,23.7,16.300001,19.7,9.7,2.3799999,27.5,0.0,5.8
2014-01-16,85.25,36.25,-19.2,17.300001,0.1,0.6,3.47,42.100002,31.0,0.6
2014-06-16,57.25,33.25,31.4,15.7,0.4,10.3,0.64,42.5,0.0,8.0
2018-11-16,114.75,48.25,-7.3,11.7,0.8,2.3,1.48,30.0,29.96,0.6
2016-03-16,120.25,33.75,9.400001,8.8,25.9,7.4,6.75,55.100002,5.43,2.6000001
